stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Jeffrey M. Ivanson\Documents\sem4\i2p_project\SourceCode\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.10482] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10484] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10486] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10488] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10490] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10492] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10494] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10496] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10497] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10499] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10501] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10503] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10505] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10507] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10508] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10510] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10512] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10514] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10516] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10518] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10520] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10523] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10525] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10529] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10531] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10533] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10537] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10544] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10546] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10550] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10553] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10555] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10559] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10561] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10563] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10564] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10566] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10568] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10572] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10574] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10576] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10577] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10579] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10581] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10583] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10585] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10587] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10588] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10590] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10592] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10594] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10596] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10598] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10600] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10602] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10603] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10605] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10607] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10609] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10611] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10613] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10615] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10616] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10618] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10620] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10622] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10624] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10626] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10628] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10631] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10635] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10637] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10639] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10640] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10642] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10646] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10648] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10650] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10651] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10653] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10655] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10657] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10661] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10663] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10665] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10668] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10672] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10676] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10677] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10679] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10681] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10683] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10685] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10687] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10690] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10692] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10694] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10696] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10698] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10699] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10701] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10703] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10705] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10707] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10709] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10710] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10713] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10714] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10716] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10720] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10722] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10724] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10725] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10727] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10729] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10731] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10735] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10736] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10739] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10741] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10743] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10746] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10748] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10750] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10752] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10754] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10755] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10757] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10761] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10763] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10765] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10766] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10768] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10770] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10772] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10774] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10776] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10778] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10780] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10781] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10783] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10785] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10787] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10789] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10791] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10792] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10794] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10796] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10798] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10800] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10802] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10804] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10805] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10807] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10809] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10811] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10813] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10815] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10816] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10818] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10820] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.10822] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10824] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.10826] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10827] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.10829] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10831] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.10833] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10835] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.10837] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10839] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.10840] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10842] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.10844] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10846] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10848] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10850] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10852] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10854] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10855] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10857] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10861] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10863] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10865] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10866] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10868] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10870] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10872] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10874] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10876] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10878] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10880] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10881] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10883] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10885] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10887] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10889] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10893] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10895] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10896] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10900] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10904] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10906] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10907] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10911] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10913] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10915] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10921] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10922] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10924] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10926] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10928] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10930] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10932] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10933] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10937] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10942] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10945] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10952] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10956] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10960] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10964] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10966] Single Buffer requirement not met.
